,,,,,,,,,,,,,,,categoryID1::SubCategoryID1___ categoryID2::SubCategoryID2,,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Before Off Price,Variants Stock,Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,Child Category Id,Child Category name,HSN Code,IGST,CGST,SGST,Image1,Image2,Image3,Image4,Image5,Image6,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
A0060,Pine nut kernel,1,1,A0060,Pine_nut_kernel_1,150,g,120,0,122,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026470301.jpg,17026470302 (1).jpg,17026470303.jpg,17026470304.jpg,17026470305.jpg,17026470306.jpg,,,,,,,117,Admin,61,15-12-2023 08:30
A0059,Pecan nuts,1,1,A0059,Pecan_nuts_1,150,g,140,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026469091.jpg,17026469092.jpg,17026469093.jpg,17026469094.jpg,17026469096.jpg,17026469095.jpg,,,,,,,116,Admin,60,15-12-2023 08:28
A0058,Macadamia,1,1,A0058,Macadamia_1,150,g,165,0,99,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026467511.jpg,17026467512 (1).jpg,17026467513.jpg,17026467514.jpg,17026467516.jpg,17026467515.jpg,,,,,,,115,Admin,59,15-12-2023 08:25
A0057,Hazel nut ,1,1,A0057,Hazel_nut_2,200,g,200,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026466051.jpg,17026466052.jpg,17026466053.jpg,17026466054.jpg,17026466056.jpg,17026466065.jpg,,,,,,Admin,114,Admin,58,15-12-2023 08:23
A0056,Almonds - Special,1,1,A0056,Almonds_Special_1,100,g,100,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026464831.jpg,17026464832.jpg,17026464833.jpg,17026464835.jpg,17026464836.jpg,17026464834.jpg,,,,,,,110,Admin,57,15-12-2023 08:21
,,,,A0056,Almonds_Special_2,200,g,199,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,111,,,
,,,,A0056,Almonds_Special_3,500,g,250,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,112,,,
,,,,A0056,Almonds_Special_4,1,Kg,580,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,113,,,
A0055,Almonds - Regular,1,1,A0055,Almonds_Regular_1,100,g,100,0,100,1,1,2,Dry Fruits & Nuts,2::4,Dry Fruits & Nuts::Dry Fruits,2:::4:::0,Dry Fruits & Nuts:::Dry Fruits:::,90200000,12,6,6,17026462881.jpg,17026462882.jpg,17026462883.jpg,17026462885.jpg,17026462886.jpg,17026462884.jpg,,,,,,,106,Admin,56,15-12-2023 08:18
,,,,A0055,Almonds_Regular_2,200,g,200,0,99,1,1,,,,,,,,,,,,,,,,,,,,,,,107,,,
,,,,A0055,Almonds_Regular_3,500,g,390,0,100,1,1,,,,,,,,,,,,,,,,,,,,,,,108,,,
