,,,,,,,,,,,,,,,,,,,,,,,,,Delivery Type,,,,,,,,,,,,,,,,,,,,,,
Item Code,Product Name,Product Status,Product In Stock Status,Variants for item code,SKU ID,Pack Size,Units,Price,Variants Stock,Conversion Factor (Kg),Variants Status,Variants In Stock Status,Category Id,category,Sub Category Id,Sub Category name,HSN Code,IGST,CGST,SGST,Ingredients,Shelf life Period,Shelf life Period Type,Storage Condition,International Delivery,National Delivery,Excluding Local & Hyperlocal (Within Maharashtra),Hyperlocal Delivery,Local Delivery,Pick-up from store,Food Habitats,Quick Description,Tags,Image1,Image2,Image3,Image4,Description for Item code,Description header name,Description Details,Description Status,Discription Id,Variants Updated By,Variants Id,Product Updated by,Product Id,Add date
,,,,A0857,0857_900,900,g,1980,10,0.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,
A0853,Mawa Gujiya,1,1,A0853,0853_250,250,g,195,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Buffalo Milk, Pharma Grade Sugar, Refined Wheat Flour, Clarified Butter (Desi Ghee), Dryfruits, Spices & Condiments & Saffron.",4,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,1,1,1,1,,35 Pc.s/Kg,,Mawa-Gujiya.jpg,,,,,,,,,,364,krishna,148,12/10/2022 18:06
,,,,A0853,0853_500,500,g,390,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,
,,,,A0853,0853_1000,1,Kg,780,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,
A0852,Mohanthal,1,1,A0852,0852_250,250,g,230,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Gram Flour (Besan), Buffalo Milk, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Almonds, Pisatchio, Cardamom & Saffron.",4,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,1,1,1,1,,35 Pc.s/Kg,,Mohanthal.jpg,,,,,,,,,,361,krishna,147,12/10/2022 18:06
,,,,A0852,0852_500,500,g,460,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,,,
,,,,A0852,0852_1000,1,Kg,920,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,
A0851,Balushahi,1,1,A0851,0851_250,250,g,195,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Fine Flour (Maida), Curd (Dahi), Clarified Butter (Deshi Ghee), Pharma Grade Sugar, Leavening Agents, Cardamom & Pistachio.",6,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,1,1,1,1,,35 Pc.s/Kg,,Balushahi.png,,,,,,,,,,358,krishna,146,12/10/2022 18:06
,,,,A0851,0851_500,500,g,390,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,
,,,,A0851,0851_1000,1,Kg,780,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,
A0850,Keshar Mawa Gujia,0,1,A0850,0850_250,250,g,260,20,0.25,0,0,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Buffalo Milk, Pharma Grade Sugar, Refined Wheat Flour, Clarified Butter (Desi Ghee), Dryfruits, Spices & Condiments & Saffron.",6,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,1,1,1,1,,35 Pc.s/Kg,,Mawa-Gujiya.jpg,,,,,,,,,,355,krishna,145,12/10/2022 18:06
,,,,A0850,0850_500,500,g,520,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,
,,,,A0850,0850_1000,1,Kg,1040,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,
A0810,Sweet Bundi,1,1,A0810,0810_250,250,g,160,20,0.25,1,1,2,Sweets,13,Deshi Ghee Sweets,2106,5,2.5,2.5,"Pharma Grade Sugar, Gram Flour (Besan), Clarified Butter (Deshi Ghee) & Cardamom.",4,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",0,0,0,1,1,1,,,,sweet_boondi.jpg,,,,,,,,,,352,krishna,144,12/10/2022 18:06
,,,,A0810,0810_500,500,g,320,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,
,,,,A0810,0810_1000,1,Kg,640,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,
A0809,Methi Ladu,1,1,A0809,0809_250,250,g,320,20,0.25,1,1,2,Sweets,35,Laddu,2106,5,2.5,2.5,"Jaggery (Gul), Clarified Butter (Deshi Ghee), Whole Wheat Flour, Fenugreek Seeds (Methi Dana), Resin (Edible Dink), Coconut, Dryfruits,Milk Solids, Spices & Condiments ",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 pc.s/Kg,,Ladu_Methi.jpg,,,,,,,,,,349,krishna,143,12/10/2022 18:06
,,,,A0809,0809_500,500,g,640,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,
,,,,A0809,0809_1000,1,Kg,1280,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,,
A0808,Dink Ladu,1,1,A0808,0808_250,250,g,320,20,0.25,1,1,2,Sweets,35,Laddu,2106,5,2.5,2.5,"Clarified Butter (Deshi Ghee), Pharma Grade Sugar, Resin (Edible Dink), Whole Wheat Flour, Coconut, Dryfruits, Spices & Condiments ",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 pc.s/Kg,,Ladu_Dink.jpg,,,,,,,,,,346,krishna,142,12/10/2022 18:06
,,,,A0808,0808_500,500,g,640,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,
,,,,A0808,0808_1000,1,Kg,1280,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,
A0806,Nachani Ladu,1,1,A0806,0806_250,250,g,220,20,0.25,1,1,2,Sweets,35,Laddu,2106,5,2.5,2.5,"Nachani Flour, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Almonds, Resin (Dink), Spices & Condiments",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 pc.s/Kg,,Ladu_Nachani.jpg,,,,,,,,,,343,krishna,141,12/10/2022 18:06
,,,,A0806,0806_500,500,g,440,20,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,,,
,,,,A0806,0806_1000,1,Kg,880,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,
A0805,Paushtik Ladu,1,1,A0805,0805_250,250,g,220,20,0.25,1,1,2,Sweets,35,Laddu,2106,5,2.5,2.5,"Whole Wheat Flour, Pharma Grade Sugar, Clarified Butter (Deshi Ghee), Resin (Dink), Dryfruits, Spices & Condiments.",14,days,"Room Temperature, Lightly Air-Ventilated, Away from excessive heat & direct sunlight.",1,1,1,1,1,1,,24 pc.s/Kg,,Ladu_Paushtik.jpg,,,,,,,,,,340,krishna,140,12/10/2022 18:06
