Pincode_Id,Pincode,City,"Werehouse Code","Updated By",Date,Status
1930,411033,pune,midc,,"2024-02-04 05:28:26",1
1938,411034,pune,midc,,"2024-02-04 05:28:26",1
1946,411035,pune,midc,,"2024-02-04 05:28:26",1
1954,411036,pune,midc,,"2024-02-04 05:28:26",1
1963,411037,pune,midc,,"2024-02-04 05:28:26",1
1972,411038,pune,midc,,"2024-02-04 05:28:26",1
1981,411039,pune,midc,,"2024-02-04 05:28:26",1
1989,411040,pune,midc,,"2024-02-04 05:28:26",1
1998,411041,pune,midc,,"2024-02-04 05:28:26",1
2006,411042,pune,midc,,"2024-02-04 05:28:26",1
2014,411043,pune,midc,,"2024-02-04 05:28:26",1
2023,411044,pune,midc,,"2024-02-04 05:28:26",1
2031,411045,pune,midc,,"2024-02-04 05:28:26",1
2039,411046,pune,midc,,"2024-02-04 05:28:26",1
2048,411047,pune,midc,,"2024-02-04 05:28:26",1
2057,411048,pune,midc,,"2024-02-04 05:28:26",1
2064,411049,pune,midc,,"2024-02-04 05:28:26",1
2070,411050,pune,midc,,"2024-02-04 05:28:26",1
2077,411051,pune,midc,,"2024-02-04 05:28:26",1
2085,411052,pune,midc,,"2024-02-04 05:28:26",1
2094,411053,pune,midc,,"2024-02-04 05:28:26",1
2100,411054,pune,midc,,"2024-02-04 05:28:26",1
2106,411055,pune,midc,,"2024-02-04 05:28:26",1
2111,411056,pune,midc,,"2024-02-04 05:28:26",1
2117,411057,pune,midc,,"2024-02-04 05:28:26",1
2124,411058,pune,midc,,"2024-02-04 05:28:26",1
2133,411060,pune,midc,,"2024-02-04 05:28:26",1
2141,411061,pune,midc,,"2024-02-04 05:28:26",1
2150,411062,pune,midc,,"2024-02-04 05:28:26",1
2201,411099,pune,midc,,"2024-02-04 05:28:26",1
2204,411100,pune,midc,,"2024-02-04 05:28:26",1
2206,411105,pune,midc,,"2024-02-04 05:28:26",1
2209,411107,pune,midc,,"2024-02-04 05:28:26",1
2213,411125,pune,midc,,"2024-02-04 05:28:26",1
2215,411201,pune,midc,,"2024-02-04 05:28:26",1
2222,411220,pune,midc,,"2024-02-04 05:28:26",1
2225,411230,pune,midc,,"2024-02-04 05:28:26",1
2228,411406,pune,midc,,"2024-02-04 05:28:26",1
2231,411412,pune,midc,,"2024-02-04 05:28:26",1
2235,411501,pune,midc,,"2024-02-04 05:28:26",1
2238,411925,pune,midc,,"2024-02-04 05:28:26",1
2242,412001,pune,midc,,"2024-02-04 05:28:26",1
2248,412101,pune,midc,,"2024-02-04 05:28:26",1
2265,412105,pune,midc,,"2024-02-04 05:28:26",1
2280,412109,pune,midc,,"2024-02-04 05:28:26",1
